start,end,start_frame,end_frame,speaker
995.7234687500002,999.7734687500001,23897,23994,SPEAKER_02
997.3603437500001,997.8159687500001,23936,23947,SPEAKER_01
998.42346875,998.9465937500001,23962,23974,SPEAKER_01
999.85784375,999.9422187500002,23996,23998,SPEAKER_02
999.9422187500002,1000.11096875,23998,24002,SPEAKER_01
1000.11096875,1003.06409375,24002,24073,SPEAKER_02
1003.8403437500001,1006.9622187500001,24092,24167,SPEAKER_02
1007.02971875,1008.5147187500002,24168,24204,SPEAKER_02
1008.6328437500001,1011.06284375,24207,24265,SPEAKER_02
1011.78846875,1012.53096875,24282,24300,SPEAKER_02
1012.7334687500002,1017.44159375,24305,24418,SPEAKER_02
1017.44159375,1017.69471875,24418,24424,SPEAKER_01
1017.69471875,1017.72846875,24424,24425,SPEAKER_02
1017.72846875,1017.7453437500001,24425,24425,SPEAKER_01
1017.7453437500001,1017.96471875,24425,24431,SPEAKER_02
1017.96471875,1018.23471875,24431,24437,SPEAKER_01
1018.9265937500002,1021.6940937500001,24454,24520,SPEAKER_01
1024.7315937500002,1030.92471875,24593,24742,SPEAKER_00
1031.4647187500002,1033.1353437500002,24755,24795,SPEAKER_00
1033.2872187500002,1035.2109687500001,24798,24845,SPEAKER_00
