frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
192, 1, 7.966, 0.98, 1, 0.51, 0.45, 0.00, 0.00, 0.32, 0.00, 0.26, 1.51, 0.73, 0.05, 0.22, 0.00, 0.36, 0.00, 3.08, 1.72, 0.00, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
193, 0, 8.008, 0.98, 1, 0.20, 0.22, 0.38, 1.48, 1.71, 0.10, 0.00, 1.99, 3.42, 1.62, 0.00, 0.00, 0.00, 0.00, 1.59, 1.01, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
193, 1, 8.008, 0.98, 1, 0.56, 0.35, 0.00, 0.00, 0.35, 0.04, 0.29, 1.49, 0.76, 0.07, 0.22, 0.00, 0.33, 0.00, 3.04, 1.62, 0.00, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
194, 0, 8.050, 0.98, 1, 0.15, 0.11, 0.39, 1.44, 1.61, 0.03, 0.00, 1.88, 3.42, 1.37, 0.00, 0.00, 0.00, 0.00, 1.66, 1.12, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
194, 1, 8.050, 0.98, 1, 0.44, 0.31, 0.00, 0.00, 0.34, 0.14, 0.21, 1.56, 0.71, 0.08, 0.23, 0.00, 0.32, 0.00, 3.05, 1.54, 0.00, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
195, 0, 8.091, 0.98, 1, 0.31, 0.36, 0.25, 1.37, 1.56, 0.00, 0.00, 1.72, 3.45, 1.40, 0.00, 0.00, 0.00, 0.00, 1.59, 1.21, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
195, 1, 8.091, 0.98, 1, 0.44, 0.50, 0.00, 0.00, 0.29, 0.09, 0.27, 1.47, 0.75, 0.34, 0.19, 0.00, 0.24, 0.00, 3.09, 1.64, 0.00, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
196, 0, 8.133, 0.98, 1, 0.02, 0.01, 0.48, 1.37, 1.67, 0.12, 0.00, 1.93, 3.45, 1.44, 0.00, 0.00, 0.00, 0.00, 1.54, 0.64, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
196, 1, 8.133, 0.98, 1, 0.46, 0.49, 0.00, 0.06, 0.42, 0.13, 0.28, 1.56, 0.82, 0.24, 0.18, 0.00, 0.42, 0.00, 3.15, 1.65, 0.00, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
197, 0, 8.175, 0.98, 1, 0.00, 0.00, 0.67, 1.34, 1.46, 0.00, 0.21, 2.17, 3.26, 1.98, 0.00, 0.00, 0.00, 0.00, 1.40, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
197, 1, 8.175, 0.98, 1, 0.44, 0.36, 0.00, 0.07, 0.34, 0.00, 0.17, 1.60, 0.82, 0.27, 0.09, 0.00, 0.43, 0.00, 3.10, 1.77, 0.00, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
198, 0, 8.217, 0.98, 1, 0.10, 0.00, 0.78, 0.94, 1.82, 0.00, 0.11, 2.44, 3.70, 3.29, 0.25, 0.00, 0.00, 0.00, 2.11, 0.00, 0.47, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
198, 1, 8.217, 0.98, 1, 0.33, 0.35, 0.00, 0.04, 0.44, 0.00, 0.17, 1.41, 0.95, 0.16, 0.09, 0.00, 0.26, 0.00, 3.00, 1.44, 0.00, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
199, 0, 8.258, 0.98, 1, 2.97, 1.19, 1.68, 1.60, 1.94, 0.05, 0.56, 1.60, 2.44, 2.75, 0.07, 0.52, 0.00, 0.00, 2.03, 0.19, 0.79, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0
199, 1, 8.258, 0.98, 1, 0.54, 0.26, 0.00, 0.26, 0.58, 0.00, 0.12, 1.46, 1.18, 0.38, 0.21, 0.00, 0.29, 0.00, 3.03, 1.44, 0.00, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
200, 0, 8.300, 0.03, 0, 2.89, 0.00, 2.06, 1.75, 1.73, 0.61, 0.00, 0.87, 1.50, 2.30, 0.00, 1.66, 1.16, 0.00, 1.31, 0.57, 0.78, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0
